,time,open,high,low,close,tick_volume,spread,real_volume
354,2021-05-18,1866.19,1875.02,1863.26,1869.52,85792,0,0
355,2021-05-19,1869.02,1890.04,1852.23,1869.35,113878,0,0
356,2021-05-20,1870.38,1883.84,1863.83,1877.05,100302,0,0
357,2021-05-21,1877.23,1889.45,1870.09,1881.34,93844,0,0
358,2021-05-24,1881.34,1887.03,1875.25,1880.83,81988,0,0
359,2021-05-25,1880.91,1900.28,1872.74,1899.15,88589,0,0
360,2021-05-26,1898.61,1912.75,1890.69,1896.64,93990,0,0
361,2021-05-27,1896.45,1903.65,1888.29,1896.54,90822,0,0
362,2021-05-28,1896.96,1905.91,1882.23,1903.83,91417,0,0
363,2021-05-31,1903.55,1910.64,1902.07,1906.64,53020,0,0
364,2021-06-01,1907.39,1916.6,1892.38,1900.37,89205,0,0
365,2021-06-02,1900.14,1909.02,1894.4,1908.29,77583,0,0
366,2021-06-03,1908.25,1909.61,1865.36,1870.5,92848,0,0
367,2021-06-04,1871.47,1896.21,1855.86,1891.5,85560,0,0
368,2021-06-07,1890.52,1900.13,1881.56,1899.0,74042,0,0
369,2021-06-08,1899.28,1903.64,1883.77,1892.86,72910,0,0
370,2021-06-09,1892.05,1898.92,1887.35,1888.6,70497,0,0
371,2021-06-10,1888.87,1899.88,1869.87,1898.44,84526,0,0
372,2021-06-11,1898.09,1903.04,1874.51,1876.19,83574,0,0
373,2021-06-14,1876.6,1877.66,1844.76,1866.09,84969,0,0
374,2021-06-15,1866.32,1869.16,1851.65,1858.75,76043,0,0
375,2021-06-16,1859.33,1863.03,1803.47,1811.95,84683,0,0
376,2021-06-17,1812.73,1825.3,1767.19,1773.15,134020,0,0
377,2021-06-18,1774.99,1797.13,1760.87,1764.2,117274,0,0
378,2021-06-21,1768.08,1786.54,1766.42,1782.97,109893,0,0
379,2021-06-22,1783.77,1790.1,1772.44,1778.76,92605,0,0
380,2021-06-23,1779.47,1794.94,1773.32,1778.86,84514,0,0
381,2021-06-24,1778.63,1788.06,1772.9,1774.95,81710,0,0
